state,case,death,updated
New York,459558,33122,2020-09-26 20:00:41
New Jersey,202178,16222,2020-09-26 20:00:41
California,802818,15494,2020-09-26 20:00:41
Michigan,133377,7030,2020-09-26 20:00:41
Florida,695887,13915,2020-09-26 20:00:41
Massachusetts,127317,9373,2020-09-26 20:00:41
Washington,84580,2184,2020-09-26 20:00:41
Louisiana,163928,5444,2020-09-26 20:00:41
Illinois,283843,8563,2020-09-26 20:00:41
Pennsylvania,158974,8081,2020-09-26 20:00:41
Georgia,313521,6879,2020-09-26 20:00:41
Texas,742017,15286,2020-09-26 20:00:41
Colorado,67504,2030,2020-09-26 20:00:41
Connecticut,56587,4502,2020-09-26 20:00:41
Ohio,148897,4734,2020-09-26 20:00:41
Indiana,115413,3568,2020-09-26 20:00:41
Tennessee,189457,2356,2020-09-26 20:00:41
Maryland,122359,3919,2020-09-26 20:00:41
North Carolina,198195,3362,2020-09-26 20:00:41
Wisconsin,110828,1274,2020-09-26 20:00:41
Arizona,216367,5587,2020-09-26 20:00:41
Virginia,144447,3143,2020-09-26 20:00:41
Missouri,124076,2127,2020-09-26 20:00:41
Nevada,77922,1573,2020-09-26 20:00:41
Alabama,150658,2519,2020-09-26 20:00:41
Mississippi,95971,2889,2020-09-26 20:00:41
South Carolina,143902,3303,2020-09-26 20:00:41
Utah,68530,448,2020-09-26 20:00:41
Minnesota,94190,2046,2020-09-26 20:00:41
Oregon,32317,543,2020-09-26 20:00:41
Oklahoma,82521,993,2020-09-26 20:00:41
Arkansas,79946,1266,2020-09-26 20:00:41
Iowa,84686,1307,2020-09-26 20:00:41
"Washington, D.C.",15163,623,2020-09-26 20:00:41
Kentucky,65071,1150,2020-09-26 20:00:41
Idaho,39759,459,2020-09-26 20:00:41
Rhode Island,24034,1099,2020-09-26 20:00:41
Kansas,55823,622,2020-09-26 20:00:41
New Hampshire,8044,438,2020-09-26 20:00:41
Maine,5238,140,2020-09-26 20:00:41
Vermont,1733,58,2020-09-26 20:00:41
New Mexico,28487,865,2020-09-26 20:00:41
Delaware,20085,631,2020-09-26 20:00:41
Puerto Rico,44905,635,2020-09-26 20:00:41
Hawaii,11891,127,2020-09-26 20:00:41
Montana,11564,170,2020-09-26 20:00:41
Nebraska,42154,451,2020-09-26 20:00:41
Navajo Nation,10237,552,2020-09-26 20:00:41
West Virginia,14962,335,2020-09-26 20:00:41
North Dakota,19885,219,2020-09-26 20:00:41
Alaska,7254,52,2020-09-26 20:00:41
Wyoming,5263,50,2020-09-26 20:00:41
South Dakota,20554,216,2020-09-26 20:00:41
Grand Princess,103,3,2020-09-26 20:00:41
Guam,2286,39,2020-09-26 20:00:41
Diamond Princess,49,0,2020-09-26 20:00:41
US Virgin Islands,1296,19,2020-09-26 20:00:41
Wuhan Evacuee,4,0,2020-09-26 20:00:41
Northern Mariana Islands,31,2,2020-09-26 20:00:41
US Military,64602,95,2020-09-26 20:00:41
Federal Bureau of Prisons,16447,126,2020-09-26 20:00:41
Veteran Affair,59529,3335,2020-09-26 20:00:41
